;client_id;gender;age;Region;account_year;Owner_account;Disponent_account;Credit_amount;Withdrawal_amount;Balance_amount;Avg_trans_permonth;Weekday_Transaction;Weekend_Transaction;collect_otherbank;remit_otherbank;others;oldage_pension;insurance_payment;negative_payment;household;payment_statement;credit_interest;loan_payment;statement_monthly;statement_transaction;statement_weekly;AutoDebit_Freq;loan_amount;loan_duration;Loan_complete_paid;Loan_complete_unpaid;Loan_Contract_running;Loan_client_debt;Years_creditcard;classic;gold;junior;Region_AvgUnemploymentRate_96;Region_AvgSalary;Region_AvgCrimeRate_96
0;1;F;29;south Bohemia;1995;1.0;0.0;1905.1029411764705;1320.102189781023;13466.5;1595.1679068502733;167;72;40.0;45.0;0.0;0.0;0.0;0.0;40.0;40.0;45.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.81375;8831.5;2271.625
1;2;M;54;Prague;1993;1.0;0.0;10506.93092105263;4768.177300613501;42628.1;6615.057546303041;349;129;89.0;70.0;0.0;0.0;0.0;0.0;65.0;65.0;70.0;24.0;1.0;0.0;0.0;2.0;80952.0;24.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43;12541.0;99107.0
2;3;F;59;Prague;1993;0.0;1.0;10506.93092105263;4768.177300613501;42628.1;6615.057546303041;349;129;89.0;70.0;0.0;0.0;0.0;0.0;65.0;65.0;70.0;24.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43;12541.0;99107.0
3;4;M;43;central Bohemia;1997;1.0;0.0;3762.1521739130435;1717.7859154929583;51096.1;2474.752281260406;81;36;39.0;0.0;13.0;0.0;13.0;0.0;13.0;13.0;18.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.8783333333333334;9357.25;3620.583333333334
4;5;F;39;central Bohemia;1997;0.0;1.0;3762.1521739130435;1717.7859154929583;51096.1;2474.752281260406;81;36;39.0;0.0;13.0;0.0;13.0;0.0;13.0;13.0;18.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.8783333333333334;9357.25;3620.583333333334
5;6;M;80;central Bohemia;1996;1.0;0.0;2959.169230769231;1310.9537190082651;33720.7;1899.2321727394337;135;51;59.0;34.0;30.0;34.0;0.0;0.0;29.0;29.0;30.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.8783333333333334;9357.25;3620.583333333334
6;7;M;70;south Bohemia;1997;1.0;0.0;2785.2857142857147;1416.2530612244898;28088.3;2040.1397669922671;59;25;14.0;19.0;0.0;19.0;0.0;0.0;14.0;14.0;15.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.81375;8831.5;2271.625
7;8;F;61;east Bohemia;1994;1.0;0.0;3511.287878787878;2040.473469387755;47668.0;2658.787065229693;179;67;47.0;51.0;0.0;51.0;0.0;0.0;47.0;46.0;47.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.983636363636364;8611.181818181818;2786.0
8;9;M;64;south Moravia;1996;1.0;0.0;12358.194117647057;7111.0379746835415;68495.5;9210.926335470085;89;41;20.0;0.0;0.0;0.0;0.0;0.0;20.0;20.0;25.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;3.8285714285714287;8728.5;3845.785714285714
9;10;M;56;south Moravia;1995;1.0;0.0;10628.115476190475;4824.378823529409;72617.2;6671.237141535593;175;79;69.0;0.0;34.0;0.0;0.0;0.0;35.0;34.0;39.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.8285714285714287;8728.5;3845.785714285714
10;11;F;49;south Moravia;1995;0.0;1.0;10628.115476190475;4824.378823529409;72617.2;6671.237141535593;175;79;69.0;0.0;34.0;0.0;0.0;0.0;35.0;34.0;39.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.8285714285714287;8728.5;3845.785714285714
11;12;M;18;north Bohemia;1993;1.0;0.0;1968.065027322404;1889.2033707865166;23877.5;1867.5336371428768;254;107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;67.0;71.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.857000000000001;9334.2;4838.0
12;13;F;25;south Moravia;1996;1.0;0.0;9321.191525423728;5058.296907216493;59295.2;6623.174546418494;113;43;23.0;0.0;0.0;0.0;0.0;0.0;23.0;23.0;28.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.8285714285714287;8728.5;3845.785714285714
13;14;F;57;north Moravia;1995;1.0;0.0;1780.2999999999997;1097.7233644859816;23187.4;1422.388923611111;131;55;35.0;39.0;0.0;0.0;0.0;0.0;0.0;34.0;39.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.697272727272727;9049.181818181818;6174.272727272727
14;15;F;81;south Bohemia;1997;1.0;0.0;3113.648717948719;1422.6716417910452;26113.2;2120.1274511599513;73;33;30.0;20.0;15.0;20.0;0.0;0.0;15.0;15.0;18.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.81375;8831.5;2271.625
15;16;M;80;south Bohemia;1997;0.0;1.0;3113.648717948719;1422.6716417910452;26113.2;2120.1274511599513;73;33;30.0;20.0;15.0;20.0;0.0;0.0;15.0;15.0;18.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.81375;8831.5;2271.625
16;17;M;65;north Moravia;1997;1.0;0.0;3571.5935483870967;2215.7863636363636;13224.8;2779.677916666666;52;23;11.0;16.0;0.0;16.0;0.0;0.0;11.0;11.0;14.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.697272727272727;9049.181818181818;6174.272727272727
17;18;F;68;north Moravia;1997;0.0;1.0;3571.5935483870967;2215.7863636363636;13224.8;2779.677916666666;52;23;11.0;16.0;0.0;16.0;0.0;0.0;11.0;11.0;14.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.697272727272727;9049.181818181818;6174.272727272727
18;19;M;57;east Bohemia;1996;1.0;0.0;7934.346153846152;5184.333333333332;39313.9;6336.428895202021;89;35;20.0;0.0;0.0;0.0;0.0;0.0;20.0;20.0;25.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;2.983636363636364;8611.181818181818;2786.0
19;20;M;20;east Bohemia;1993;1.0;0.0;9213.163565891471;4835.062711864406;47423.0;6491.283237495612;254;111;59.0;0.0;0.0;0.0;0.0;0.0;59.0;58.0;63.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.983636363636364;8611.181818181818;2786.0
20;21;F;47;central Bohemia;1997;1.0;0.0;10850.559375000003;11220.92857142857;33031.7;11145.58503968254;42;18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;15.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.8783333333333334;9357.25;3620.583333333334
21;22;F;30;Prague;1997;1.0;0.0;7741.32121212121;7504.076190476191;97877.9;6211.005674603174;38;16;2.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;17.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43;12541.0;99107.0
22;23;M;26;Prague;1997;0.0;1.0;7741.32121212121;7504.076190476191;97877.9;6211.005674603174;38;16;2.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;17.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43;12541.0;99107.0
23;24;F;60;east Bohemia;1993;1.0;0.0;12212.360897435894;10602.151162790698;81557.7;11037.910273126972;236;92;0.0;0.0;0.0;0.0;0.0;0.0;0.0;55.0;60.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.983636363636364;8611.181818181818;2786.0
24;25;F;60;south Bohemia;1995;1.0;0.0;5218.385526315789;5180.9357615894;10873.0;5181.060198507205;207;96;8.0;45.0;0.0;0.0;0.0;8.0;32.0;40.0;90.0;8.0;1.0;0.0;0.0;1.0;30276.0;12.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.81375;8831.5;2271.625
25;26;F;30;north Moravia;1996;1.0;0.0;1626.7981132075472;1087.742857142857;17692.2;1327.1343097643098;84;32;24.0;28.0;0.0;0.0;0.0;0.0;24.0;23.0;24.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.697272727272727;9049.181818181818;6174.272727272727
26;27;F;33;south Moravia;1997;1.0;0.0;5171.514705882353;4378.600000000001;53230.6;4731.573478835979;43;19;9.0;0.0;0.0;0.0;0.0;0.0;9.0;8.0;13.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.8285714285714287;8728.5;3845.785714285714
27;28;M;54;Prague;1994;1.0;0.0;9047.485593220337;5374.287499999996;35740.0;6731.0846732824975;220;90;52.0;0.0;0.0;0.0;0.0;0.0;52.0;52.0;57.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43;12541.0;99107.0
